t,a
1,50.560881410256435
2,55.530913461538461
3,55.12033653846153
4,57.048910256410288
5,64.934407051282037
6,62.167051282051254
7,41.903621794871789
8,32.539455128205176
9,45.128669871794933
10,53.688301282051277
11,46.890240384615389
12,48.295801282051343
13,56.296121794871816
14,58.008413461538481
15,58.025689102564115
16,57.021105769230722
17,41.830817307692342
18,24.62858974358975
19,-17.035721153846161
20,-29.846778846153871
21,-33.8301442307692
22,-28.499967948717956
23,-12.061474358974383
24,-5.7383653846153866
25,0.12084935897439084
26,-4.3936057692307706
27,-9.3445673076923139
28,-10.04862179487181
29,-9.594823717948703
30,-7.1926923076923082
31,0.0085096153846111466
32,2.6322435897435827
33,1.9796474358974303
34,-5.1369391025641074
35,-16.089823717948743
36,-27.650272435897424
37,-39.829326923076913
38,-32.540897435897485
39,-21.530496794871816
40,-15.754423076923061
41,-7.1899038461538467
42,1.4999519230769267
43,9.885128205128213
44,13.165624999999986
45,46.44814102564105
46,58.679407051282013
47,40.922596153846193
48,33.19107371794874
49,39.619358974358981
50,39.004150641025682
51,13.139503205128207
52,-13.482628205128195
53,-71.141282051282076
54,-89.531891025640974
55,-102.82043269230772
56,-94.831217948717978
57,-70.326057692307685
58,-61.311426282051343
59,-41.902708333333351
60,-17.186169871794863
61,26.724935897435902
62,32.608878205128192
63,60.044230769230708
64,79.049374999999884
65,74.633669871794908
66,56.357067307692304
67,24.548621794871792
68,20.67748397435901
69,-3.0824839743589614
70,-24.384935897435913
71,-50.825929487179479
72,-48.998157051282064
73,-11.012756410256403
74,18.103157051282036
75,67.906201923077
76,88.867147435897635
77,120.2178685897438
78,127.2982532051282
79,131.15748397435902
80,124.92717948717953
81,49.0742467948718
82,17.459967948717942
83,-20.587500000000063
84,-30.799599358974369
85,-49.002996794871812
86,-47.695144230769287
87,-23.616250000000029
88,-10.089711538461529
89,21.324102564102589
90,39.281810897435868
91,58.78427884615386
92,59.671041666666689
93,51.237820512820491
94,62.288397435897458
95,111.05628205128207
96,122.99855769230774
97,88.54743589743579
98,74.625144230769251
99,58.899214743589766
100,46.2210416666667
101,44.965128205128096
102,47.741794871794859
103,38.000608974358961
104,23.567483974358964
105,2.5584134615384695
106,-10.197612179487171
107,-28.047772435897407
108,-41.877980769230732
109,-57.1904166666667
110,-55.960737179487246
111,-40.009375000000013
112,-26.004551282051253
113,9.5393589743589757
114,13.05932692307691
115,39.804471153846109
116,34.2483814102564
117,29.986923076923059
118,13.487435897435887
119,-7.3014743589743842
120,-17.950512820512817
121,-31.964935897435836
122,-38.604983974358973
123,-61.892596153846156
124,-71.6634134615385
125,-51.113830128205116
126,-41.650977564102561
127,-56.348573717948724
128,-55.637019230769162
129,-20.658429487179511
130,-27.00697115384618
131,-44.188525641025606
132,-36.3053205128205
133,-13.917227564102562
134,-4.8320833333333209
135,5.25661858974359
136,-2.9291346153846369
137,-33.516362179487132
138,-39.31956730769231
139,-40.447035256410281
140,-36.05741987179487
141,-25.353365384615383
142,-26.296554487179481
143,-23.105817307692302
144,-22.079294871794868
145,-7.16918269230769
146,4.0068108974358845
147,33.886009615384623
148,48.215336538461571
149,61.337820512820564
150,62.582596153846126
151,46.463349358974369
152,33.205721153846177
153,20.866875000000039
154,15.91940705128205
155,-2.072756410256396
156,-7.5867628205128241
157,-5.8445673076922935
158,-1.7019230769230878
159,-3.2300961538462216
160,-2.3665384615384495
161,54.143044871794864
162,63.203173076923058
163,64.069407051282056
164,49.632403846153871
165,-4.0698237179487275
166,-32.519294871794884
167,-82.438862179487145
168,-99.762516025641048
169,-93.111714743589786
170,-69.609663461538489
171,-12.866698717948738
172,0.35637820512821183
173,21.67985576923078
174,40.496025641025611
175,86.304230769230784
176,99.794567307692333
